Date,Salesperson,YTD,Bike Type,Sales
2021-10-22,Lorna,64704.0,Road,31.0
2021-10-23,Lorna,64704.0,Road,51.0
2021-10-24,Lorna,64704.0,Road,2.0
2021-10-25,Lorna,64704.0,Road,3.0
2021-10-26,Lorna,64704.0,Road,75.0
2021-10-27,Lorna,64704.0,Road,13.0
2021-10-28,Lorna,64704.0,Road,33.0
2021-10-29,Lorna,64704.0,Road,56.0
2021-10-30,Lorna,64704.0,Road,90.0
2021-10-31,Lorna,64704.0,Road,19.0
2021-10-01,Jenny,20707.0,Road,64.0
2021-10-02,Jenny,20707.0,Road,60.0
2021-10-03,Jenny,20707.0,Road,60.0
2021-10-04,Jenny,20707.0,Road,12.0
2021-10-05,Jenny,20707.0,Road,10.0
2021-10-06,Jenny,20707.0,Road,95.0
2021-10-07,Jenny,20707.0,Road,0.0
2021-10-08,Jenny,20707.0,Road,9.0
2021-10-09,Jenny,20707.0,Road,30.0
2021-10-10,Jenny,20707.0,Road,22.0
2021-10-11,Jenny,20707.0,Road,6.0
2021-10-12,Jenny,20707.0,Road,9.0
2021-10-13,Jenny,20707.0,Road,46.0
2021-10-14,Jenny,20707.0,Road,56.0
2021-10-15,Jenny,20707.0,Road,6.0
2021-10-16,Jenny,20707.0,Road,59.0
2021-10-17,Jenny,20707.0,Road,81.0
2021-10-18,Jenny,20707.0,Road,8.0
2021-10-19,Jenny,20707.0,Road,70.0
2021-10-20,Jenny,20707.0,Road,27.0
2021-10-21,Jenny,20707.0,Road,5.0
2021-10-22,Jenny,20707.0,Road,92.0
2021-10-23,Jenny,20707.0,Road,43.0
2021-10-24,Jenny,20707.0,Road,14.0
2021-10-25,Jenny,20707.0,Road,55.0
2021-10-26,Jenny,20707.0,Road,65.0
2021-10-27,Jenny,20707.0,Road,59.0
2021-10-28,Jenny,20707.0,Road,7.0
2021-10-29,Jenny,20707.0,Road,75.0
2021-10-30,Jenny,20707.0,Road,96.0
2021-10-31,Jenny,20707.0,Road,37.0
2021-10-01,Tom,74377.0,Road,6.0
2021-10-02,Tom,74377.0,Road,30.0
2021-10-03,Tom,74377.0,Road,39.0
2021-10-04,Tom,74377.0,Road,70.0
2021-10-05,Tom,74377.0,Road,72.0
2021-10-06,Tom,74377.0,Road,23.0
2021-10-07,Tom,74377.0,Road,38.0
2021-10-08,Tom,74377.0,Road,7.0
2021-10-09,Tom,74377.0,Road,96.0
2021-10-10,Tom,74377.0,Road,83.0
2021-10-11,Tom,74377.0,Road,31.0
2021-10-12,Tom,74377.0,Road,67.0
2021-10-13,Tom,74377.0,Road,93.0
2021-10-14,Tom,74377.0,Road,62.0
2021-10-15,Tom,74377.0,Road,65.0
2021-10-16,Tom,74377.0,Road,88.0
2021-10-17,Tom,74377.0,Road,72.0
2021-10-18,Tom,74377.0,Road,96.0
2021-10-19,Tom,74377.0,Road,98.0
2021-10-20,Tom,74377.0,Road,14.0
2021-10-21,Tom,74377.0,Road,66.0
2021-10-22,Tom,74377.0,Road,37.0
2021-10-23,Tom,74377.0,Road,100.0
2021-10-24,Tom,74377.0,Road,74.0
2021-10-25,Tom,74377.0,Road,92.0
2021-10-26,Tom,74377.0,Road,96.0
2021-10-27,Tom,74377.0,Road,95.0
2021-10-28,Tom,74377.0,Road,73.0
2021-10-29,Tom,74377.0,Road,51.0
2021-10-30,Tom,74377.0,Road,29.0
2021-10-31,Tom,74377.0,Road,50.0
2021-11-01,Carl,37811.0,Road,31.0
2021-11-02,Carl,37811.0,Road,96.0
2021-11-03,Carl,37811.0,Road,43.0
2021-11-04,Carl,37811.0,Road,34.0
2021-11-05,Carl,37811.0,Road,89.0
2021-11-06,Carl,37811.0,Road,69.0
2021-11-07,Carl,37811.0,Road,99.0
2021-11-08,Carl,37811.0,Road,52.0
2021-11-09,Carl,37811.0,Road,44.0
2021-11-10,Carl,37811.0,Road,31.0
2021-11-11,Carl,37811.0,Road,66.0
2021-11-12,Carl,37811.0,Road,78.0
2021-11-13,Carl,37811.0,Road,21.0
2021-11-14,Carl,37811.0,Road,59.0
2021-11-15,Carl,37811.0,Road,76.0
2021-11-16,Carl,37811.0,Road,50.0
2021-11-17,Carl,37811.0,Road,73.0
2021-11-18,Carl,37811.0,Road,25.0
2021-11-19,Carl,37811.0,Road,69.0
2021-11-20,Carl,37811.0,Road,17.0
2021-11-21,Carl,37811.0,Road,53.0
2021-11-22,Carl,37811.0,Road,73.0
2021-11-23,Carl,37811.0,Road,23.0
2021-11-24,Carl,37811.0,Road,58.0
2021-11-25,Carl,37811.0,Road,44.0
2021-11-26,Carl,37811.0,Road,43.0
2021-11-27,Carl,37811.0,Road,72.0
2021-11-28,Carl,37811.0,Road,99.0
2021-11-29,Carl,37811.0,Road,37.0
2021-11-30,Carl,37811.0,Road,31.0
2021-11-01,Ollie,50305.0,Road,50.0
2021-11-02,Ollie,50305.0,Road,65.0
2021-11-03,Ollie,50305.0,Road,28.0
2021-11-04,Ollie,50305.0,Road,88.0
2021-11-05,Ollie,50305.0,Road,43.0
2021-11-06,Ollie,50305.0,Road,74.0
2021-11-07,Ollie,50305.0,Road,12.0
2021-11-08,Ollie,50305.0,Road,1.0
2021-11-09,Ollie,50305.0,Road,81.0
2021-11-10,Ollie,50305.0,Road,26.0
2021-11-11,Ollie,50305.0,Road,14.0
2021-11-12,Ollie,50305.0,Road,56.0
2021-11-13,Ollie,50305.0,Road,27.0
2021-11-14,Ollie,50305.0,Road,88.0
2021-11-15,Ollie,50305.0,Road,89.0
2021-11-16,Ollie,50305.0,Road,18.0
2021-11-17,Ollie,50305.0,Road,66.0
2021-11-18,Ollie,50305.0,Road,45.0
2021-11-19,Ollie,50305.0,Road,94.0
2021-11-20,Ollie,50305.0,Road,10.0
2021-11-21,Ollie,50305.0,Road,20.0
2021-11-22,Ollie,50305.0,Road,84.0
2021-11-23,Ollie,50305.0,Road,91.0
2021-11-24,Ollie,50305.0,Road,80.0
2021-11-25,Ollie,50305.0,Road,62.0
2021-11-26,Ollie,50305.0,Road,97.0
2021-11-27,Ollie,50305.0,Road,3.0
2021-11-28,Ollie,50305.0,Road,6.0
2021-11-29,Ollie,50305.0,Road,72.0
2021-11-30,Ollie,50305.0,Road,79.0
2021-11-01,Lorna,69113.0,Road,65.0
2021-11-02,Lorna,69113.0,Road,84.0
2021-11-03,Lorna,69113.0,Road,46.0
2021-11-04,Lorna,69113.0,Road,13.0
2021-11-05,Lorna,69113.0,Road,42.0
2021-11-06,Lorna,69113.0,Road,43.0
2021-11-07,Lorna,69113.0,Road,98.0
2021-11-08,Lorna,69113.0,Road,83.0
2021-11-09,Lorna,69113.0,Road,32.0
2021-11-10,Lorna,69113.0,Road,49.0
2021-11-11,Lorna,69113.0,Road,99.0
2021-11-12,Lorna,69113.0,Road,48.0
2021-11-13,Lorna,69113.0,Road,74.0
2021-11-14,Lorna,69113.0,Road,15.0
2021-11-15,Lorna,69113.0,Road,73.0
2021-11-16,Lorna,69113.0,Road,43.0
2021-11-17,Lorna,69113.0,Road,52.0
2021-11-18,Lorna,69113.0,Road,65.0
2021-11-19,Lorna,69113.0,Road,11.0
2021-11-20,Lorna,69113.0,Road,7.0
2021-11-21,Lorna,69113.0,Road,52.0
2021-11-22,Lorna,69113.0,Road,21.0
2021-11-23,Lorna,69113.0,Road,98.0
2021-11-24,Lorna,69113.0,Road,46.0
2021-11-25,Lorna,69113.0,Road,15.0
2021-11-26,Lorna,69113.0,Road,42.0
2021-11-27,Lorna,69113.0,Road,79.0
2021-11-28,Lorna,69113.0,Road,78.0
2021-11-29,Lorna,69113.0,Road,23.0
2021-11-30,Lorna,69113.0,Road,84.0
2021-11-01,Jenny,24839.0,Road,50.0
2021-11-02,Jenny,24839.0,Road,54.0
2021-11-03,Jenny,24839.0,Road,44.0
2021-11-04,Jenny,24839.0,Road,57.0
2021-11-05,Jenny,24839.0,Road,1.0
2021-11-06,Jenny,24839.0,Road,50.0
2021-11-07,Jenny,24839.0,Road,15.0
2021-11-08,Jenny,24839.0,Road,61.0
2021-11-09,Jenny,24839.0,Road,45.0
2021-11-10,Jenny,24839.0,Road,24.0
2021-11-11,Jenny,24839.0,Road,73.0
2021-11-12,Jenny,24839.0,Road,4.0
2021-11-13,Jenny,24839.0,Road,85.0
2021-11-14,Jenny,24839.0,Road,2.0
2021-11-15,Jenny,24839.0,Road,35.0
2021-11-16,Jenny,24839.0,Road,21.0
2021-11-17,Jenny,24839.0,Road,14.0
2021-11-18,Jenny,24839.0,Road,84.0
2021-11-19,Jenny,24839.0,Road,5.0
2021-11-20,Jenny,24839.0,Road,22.0
2021-11-21,Jenny,24839.0,Road,67.0
2021-11-22,Jenny,24839.0,Road,82.0
2021-11-23,Jenny,24839.0,Road,52.0
2021-11-24,Jenny,24839.0,Road,43.0
2021-11-25,Jenny,24839.0,Road,23.0
2021-11-26,Jenny,24839.0,Road,34.0
2021-11-27,Jenny,24839.0,Road,99.0
2021-11-28,Jenny,24839.0,Road,5.0
2021-11-29,Jenny,24839.0,Road,30.0
2021-11-30,Jenny,24839.0,Road,7.0
2021-11-01,Tom,78772.0,Road,2.0
2021-11-02,Tom,78772.0,Road,3.0
2021-11-03,Tom,78772.0,Road,30.0
2021-11-04,Tom,78772.0,Road,10.0
2021-11-05,Tom,78772.0,Road,12.0
2021-11-06,Tom,78772.0,Road,15.0
2021-11-07,Tom,78772.0,Road,64.0
2021-11-08,Tom,78772.0,Road,89.0
2021-11-09,Tom,78772.0,Road,37.0
2021-11-10,Tom,78772.0,Road,64.0
2021-11-11,Tom,78772.0,Road,35.0
2021-11-12,Tom,78772.0,Road,58.0
2021-11-13,Tom,78772.0,Road,8.0
2021-11-14,Tom,78772.0,Road,44.0
2021-11-15,Tom,78772.0,Road,62.0
2021-11-16,Tom,78772.0,Road,54.0
2021-11-17,Tom,78772.0,Road,100.0
2021-11-18,Tom,78772.0,Road,41.0
2021-11-19,Tom,78772.0,Road,21.0
2021-11-20,Tom,78772.0,Road,54.0
2021-11-21,Tom,78772.0,Road,16.0
2021-11-22,Tom,78772.0,Road,44.0
2021-11-23,Tom,78772.0,Road,25.0
2021-11-24,Tom,78772.0,Road,53.0
2021-11-25,Tom,78772.0,Road,77.0
2021-11-26,Tom,78772.0,Road,72.0
2021-11-27,Tom,78772.0,Road,67.0
2021-11-28,Tom,78772.0,Road,65.0
2021-11-29,Tom,78772.0,Road,96.0
2021-11-30,Tom,78772.0,Road,61.0
2021-10-01,Carl,32768.0,Gravel,21.0
2021-10-02,Carl,32768.0,Gravel,84.0
2021-10-03,Carl,32768.0,Gravel,26.0
2021-10-04,Carl,32768.0,Gravel,30.0
2021-10-05,Carl,32768.0,Gravel,39.0
2021-10-06,Carl,32768.0,Gravel,45.0
2021-10-07,Carl,32768.0,Gravel,2.0
2021-10-08,Carl,32768.0,Gravel,16.0
2021-10-09,Carl,32768.0,Gravel,52.0
2021-10-10,Carl,32768.0,Gravel,2.0
2021-10-11,Carl,32768.0,Gravel,76.0
2021-10-12,Carl,32768.0,Gravel,45.0
2021-10-13,Carl,32768.0,Gravel,67.0
2021-10-14,Carl,32768.0,Gravel,35.0
2021-10-15,Carl,32768.0,Gravel,82.0
2021-10-16,Carl,32768.0,Gravel,54.0
2021-10-17,Carl,32768.0,Gravel,66.0
2021-10-18,Carl,32768.0,Gravel,80.0
2021-10-19,Carl,32768.0,Gravel,81.0
2021-10-20,Carl,32768.0,Gravel,22.0
2021-10-21,Carl,32768.0,Gravel,60.0
2021-10-22,Carl,32768.0,Gravel,73.0
2021-10-23,Carl,32768.0,Gravel,67.0
2021-10-24,Carl,32768.0,Gravel,73.0
2021-10-25,Carl,32768.0,Gravel,77.0
2021-10-26,Carl,32768.0,Gravel,22.0
2021-10-27,Carl,32768.0,Gravel,41.0
2021-10-28,Carl,32768.0,Gravel,59.0
2021-10-29,Carl,32768.0,Gravel,36.0
2021-10-30,Carl,32768.0,Gravel,59.0
2021-10-31,Carl,32768.0,Gravel,42.0
2021-10-01,Ollie,45627.0,Gravel,24.0
2021-10-02,Ollie,45627.0,Gravel,3.0
2021-10-03,Ollie,45627.0,Gravel,22.0
2021-10-04,Ollie,45627.0,Gravel,21.0
2021-10-05,Ollie,45627.0,Gravel,89.0
2021-10-06,Ollie,45627.0,Gravel,73.0
2021-10-07,Ollie,45627.0,Gravel,21.0
2021-10-08,Ollie,45627.0,Gravel,82.0
2021-10-09,Ollie,45627.0,Gravel,79.0
2021-10-10,Ollie,45627.0,Gravel,48.0
2021-10-11,Ollie,45627.0,Gravel,13.0
2021-10-12,Ollie,45627.0,Gravel,79.0
2021-10-13,Ollie,45627.0,Gravel,41.0
2021-10-14,Ollie,45627.0,Gravel,44.0
2021-10-15,Ollie,45627.0,Gravel,22.0
2021-10-16,Ollie,45627.0,Gravel,25.0
2021-10-17,Ollie,45627.0,Gravel,40.0
2021-10-18,Ollie,45627.0,Gravel,68.0
2021-10-19,Ollie,45627.0,Gravel,59.0
2021-10-20,Ollie,45627.0,Gravel,54.0
2021-10-21,Ollie,45627.0,Gravel,71.0
2021-10-22,Ollie,45627.0,Gravel,84.0
2021-10-23,Ollie,45627.0,Gravel,41.0
2021-10-24,Ollie,45627.0,Gravel,74.0
2021-10-25,Ollie,45627.0,Gravel,27.0
2021-10-26,Ollie,45627.0,Gravel,12.0
2021-10-27,Ollie,45627.0,Gravel,60.0
2021-10-28,Ollie,45627.0,Gravel,37.0
2021-10-29,Ollie,45627.0,Gravel,9.0
2021-10-30,Ollie,45627.0,Gravel,52.0
2021-10-31,Ollie,45627.0,Gravel,18.0
2021-10-01,Lorna,64704.0,Gravel,9.0
2021-10-02,Lorna,64704.0,Gravel,54.0
2021-10-03,Lorna,64704.0,Gravel,57.0
2021-10-04,Lorna,64704.0,Gravel,48.0
2021-10-05,Lorna,64704.0,Gravel,70.0
2021-10-06,Lorna,64704.0,Gravel,90.0
2021-10-07,Lorna,64704.0,Gravel,78.0
2021-10-08,Lorna,64704.0,Gravel,96.0
2021-10-09,Lorna,64704.0,Gravel,52.0
2021-10-10,Lorna,64704.0,Gravel,64.0
2021-10-11,Lorna,64704.0,Gravel,96.0
2021-10-12,Lorna,64704.0,Gravel,65.0
2021-10-13,Lorna,64704.0,Gravel,24.0
2021-10-14,Lorna,64704.0,Gravel,55.0
2021-10-15,Lorna,64704.0,Gravel,77.0
2021-10-16,Lorna,64704.0,Gravel,74.0
2021-10-17,Lorna,64704.0,Gravel,83.0
2021-10-18,Lorna,64704.0,Gravel,35.0
2021-10-19,Lorna,64704.0,Gravel,51.0
2021-10-20,Lorna,64704.0,Gravel,35.0
2021-10-21,Lorna,64704.0,Gravel,73.0
2021-10-22,Lorna,64704.0,Gravel,30.0
2021-10-23,Lorna,64704.0,Gravel,14.0
2021-10-24,Lorna,64704.0,Gravel,1.0
2021-10-25,Lorna,64704.0,Gravel,80.0
2021-10-26,Lorna,64704.0,Gravel,36.0
2021-10-27,Lorna,64704.0,Gravel,11.0
2021-10-28,Lorna,64704.0,Gravel,9.0
2021-10-29,Lorna,64704.0,Gravel,1.0
2021-10-30,Lorna,64704.0,Gravel,52.0
2021-10-31,Lorna,64704.0,Gravel,8.0
2021-10-01,Jenny,20707.0,Gravel,25.0
2021-10-02,Jenny,20707.0,Gravel,60.0
2021-10-03,Jenny,20707.0,Gravel,57.0
2021-10-04,Jenny,20707.0,Gravel,76.0
2021-10-05,Jenny,20707.0,Gravel,72.0
2021-10-06,Jenny,20707.0,Gravel,79.0
2021-10-07,Jenny,20707.0,Gravel,94.0
2021-10-08,Jenny,20707.0,Gravel,49.0
2021-10-09,Jenny,20707.0,Gravel,5.0
2021-10-10,Jenny,20707.0,Gravel,11.0
2021-10-11,Jenny,20707.0,Gravel,88.0
2021-10-12,Jenny,20707.0,Gravel,4.0
2021-10-13,Jenny,20707.0,Gravel,50.0
2021-10-14,Jenny,20707.0,Gravel,11.0
2021-10-15,Jenny,20707.0,Gravel,84.0
2021-10-16,Jenny,20707.0,Gravel,57.0
2021-10-17,Jenny,20707.0,Gravel,24.0
2021-10-18,Jenny,20707.0,Gravel,83.0
2021-10-19,Jenny,20707.0,Gravel,100.0
2021-10-20,Jenny,20707.0,Gravel,41.0
2021-10-21,Jenny,20707.0,Gravel,4.0
2021-10-22,Jenny,20707.0,Gravel,12.0
2021-10-23,Jenny,20707.0,Gravel,33.0
2021-10-24,Jenny,20707.0,Gravel,47.0
2021-10-25,Jenny,20707.0,Gravel,21.0
2021-10-26,Jenny,20707.0,Gravel,100.0
2021-10-27,Jenny,20707.0,Gravel,18.0
2021-10-28,Jenny,20707.0,Gravel,25.0
2021-10-29,Jenny,20707.0,Gravel,85.0
2021-10-30,Jenny,20707.0,Gravel,42.0
2021-10-31,Jenny,20707.0,Gravel,0.0
2021-10-01,Tom,74377.0,Gravel,71.0
2021-10-02,Tom,74377.0,Gravel,41.0
2021-10-03,Tom,74377.0,Gravel,87.0
2021-10-04,Tom,74377.0,Gravel,4.0
2021-10-05,Tom,74377.0,Gravel,73.0
2021-10-06,Tom,74377.0,Gravel,58.0
2021-10-07,Tom,74377.0,Gravel,77.0
2021-10-08,Tom,74377.0,Gravel,64.0
2021-10-09,Tom,74377.0,Gravel,74.0
2021-10-10,Tom,74377.0,Gravel,63.0
2021-10-11,Tom,74377.0,Gravel,44.0
2021-10-12,Tom,74377.0,Gravel,96.0
2021-10-13,Tom,74377.0,Gravel,39.0
2021-10-14,Tom,74377.0,Gravel,69.0
2021-10-15,Tom,74377.0,Gravel,15.0
2021-10-16,Tom,74377.0,Gravel,87.0
2021-10-17,Tom,74377.0,Gravel,71.0
2021-10-18,Tom,74377.0,Gravel,33.0
2021-10-19,Tom,74377.0,Gravel,64.0
2021-10-20,Tom,74377.0,Gravel,25.0
2021-10-21,Tom,74377.0,Gravel,2.0
2021-10-22,Tom,74377.0,Gravel,69.0
2021-10-23,Tom,74377.0,Gravel,74.0
2021-10-24,Tom,74377.0,Gravel,81.0
2021-10-25,Tom,74377.0,Gravel,53.0
2021-10-26,Tom,74377.0,Gravel,48.0
2021-10-27,Tom,74377.0,Gravel,61.0
2021-10-28,Tom,74377.0,Gravel,40.0
2021-10-29,Tom,74377.0,Gravel,89.0
2021-10-30,Tom,74377.0,Gravel,58.0
2021-10-31,Tom,74377.0,Gravel,17.0
2021-11-01,Carl,37811.0,Gravel,66.0
2021-11-02,Carl,37811.0,Gravel,87.0
2021-11-03,Carl,37811.0,Gravel,65.0
2021-11-04,Carl,37811.0,Gravel,48.0
2021-11-05,Carl,37811.0,Gravel,17.0
2021-11-06,Carl,37811.0,Gravel,60.0
2021-11-07,Carl,37811.0,Gravel,46.0
2021-11-08,Carl,37811.0,Gravel,56.0
2021-11-09,Carl,37811.0,Gravel,92.0
2021-11-10,Carl,37811.0,Gravel,92.0
2021-11-11,Carl,37811.0,Gravel,34.0
2021-11-12,Carl,37811.0,Gravel,69.0
2021-11-13,Carl,37811.0,Gravel,57.0
2021-11-14,Carl,37811.0,Gravel,30.0
2021-11-15,Carl,37811.0,Gravel,83.0
2021-11-16,Carl,37811.0,Gravel,41.0
2021-11-17,Carl,37811.0,Gravel,91.0
2021-11-18,Carl,37811.0,Gravel,92.0
2021-11-19,Carl,37811.0,Gravel,77.0
2021-11-20,Carl,37811.0,Gravel,71.0
2021-11-21,Carl,37811.0,Gravel,11.0
2021-11-22,Carl,37811.0,Gravel,65.0
2021-11-23,Carl,37811.0,Gravel,17.0
2021-11-24,Carl,37811.0,Gravel,97.0
2021-11-25,Carl,37811.0,Gravel,48.0
2021-11-26,Carl,37811.0,Gravel,61.0
2021-11-27,Carl,37811.0,Gravel,41.0
2021-11-28,Carl,37811.0,Gravel,79.0
2021-11-29,Carl,37811.0,Gravel,61.0
2021-11-30,Carl,37811.0,Gravel,46.0
2021-11-01,Ollie,50305.0,Gravel,6.0
2021-11-02,Ollie,50305.0,Gravel,50.0
2021-11-03,Ollie,50305.0,Gravel,87.0
2021-11-04,Ollie,50305.0,Gravel,62.0
2021-11-05,Ollie,50305.0,Gravel,59.0
2021-11-06,Ollie,50305.0,Gravel,16.0
2021-11-07,Ollie,50305.0,Gravel,44.0
2021-11-08,Ollie,50305.0,Gravel,14.0
2021-11-09,Ollie,50305.0,Gravel,13.0
2021-11-10,Ollie,50305.0,Gravel,98.0
2021-11-11,Ollie,50305.0,Gravel,95.0
2021-11-12,Ollie,50305.0,Gravel,17.0
2021-11-13,Ollie,50305.0,Gravel,96.0
2021-11-14,Ollie,50305.0,Gravel,7.0
2021-11-15,Ollie,50305.0,Gravel,55.0
2021-11-16,Ollie,50305.0,Gravel,12.0
2021-11-17,Ollie,50305.0,Gravel,99.0
2021-11-18,Ollie,50305.0,Gravel,96.0
2021-11-19,Ollie,50305.0,Gravel,48.0
2021-11-20,Ollie,50305.0,Gravel,78.0
2021-11-21,Ollie,50305.0,Gravel,48.0
2021-11-22,Ollie,50305.0,Gravel,49.0
2021-11-23,Ollie,50305.0,Gravel,80.0
2021-11-24,Ollie,50305.0,Gravel,81.0
2021-11-25,Ollie,50305.0,Gravel,57.0
2021-11-26,Ollie,50305.0,Gravel,90.0
2021-11-27,Ollie,50305.0,Gravel,65.0
2021-11-28,Ollie,50305.0,Gravel,95.0
2021-11-29,Ollie,50305.0,Gravel,63.0
2021-11-30,Ollie,50305.0,Gravel,50.0
2021-11-01,Lorna,69113.0,Gravel,55.0
2021-11-02,Lorna,69113.0,Gravel,64.0
2021-11-03,Lorna,69113.0,Gravel,26.0
2021-11-04,Lorna,69113.0,Gravel,6.0
2021-11-05,Lorna,69113.0,Gravel,2.0
2021-11-06,Lorna,69113.0,Gravel,25.0
2021-11-07,Lorna,69113.0,Gravel,83.0
2021-11-08,Lorna,69113.0,Gravel,98.0
2021-11-09,Lorna,69113.0,Gravel,65.0
2021-11-10,Lorna,69113.0,Gravel,20.0
2021-11-11,Lorna,69113.0,Gravel,50.0
2021-11-12,Lorna,69113.0,Gravel,85.0
2021-11-13,Lorna,69113.0,Gravel,27.0
2021-11-14,Lorna,69113.0,Gravel,64.0
2021-11-15,Lorna,69113.0,Gravel,73.0
2021-11-16,Lorna,69113.0,Gravel,12.0
2021-11-17,Lorna,69113.0,Gravel,0.0
2021-11-18,Lorna,69113.0,Gravel,46.0
2021-11-19,Lorna,69113.0,Gravel,56.0
2021-11-20,Lorna,69113.0,Gravel,91.0
2021-11-21,Lorna,69113.0,Gravel,41.0
2021-11-22,Lorna,69113.0,Gravel,51.0
2021-11-23,Lorna,69113.0,Gravel,91.0
2021-11-24,Lorna,69113.0,Gravel,94.0
2021-11-25,Lorna,69113.0,Gravel,29.0
2021-11-26,Lorna,69113.0,Gravel,82.0
2021-11-27,Lorna,69113.0,Gravel,2.0
2021-11-28,Lorna,69113.0,Gravel,45.0
2021-11-29,Lorna,69113.0,Gravel,68.0
2021-11-30,Lorna,69113.0,Gravel,16.0
2021-11-01,Jenny,24839.0,Gravel,6.0
2021-11-02,Jenny,24839.0,Gravel,5.0
2021-11-03,Jenny,24839.0,Gravel,38.0
2021-11-04,Jenny,24839.0,Gravel,92.0
2021-11-05,Jenny,24839.0,Gravel,26.0
2021-11-06,Jenny,24839.0,Gravel,18.0
2021-11-07,Jenny,24839.0,Gravel,80.0
2021-11-08,Jenny,24839.0,Gravel,80.0
2021-11-09,Jenny,24839.0,Gravel,42.0
2021-11-10,Jenny,24839.0,Gravel,55.0
2021-11-11,Jenny,24839.0,Gravel,8.0
2021-11-12,Jenny,24839.0,Gravel,46.0
2021-11-13,Jenny,24839.0,Gravel,81.0
2021-11-14,Jenny,24839.0,Gravel,37.0
2021-11-15,Jenny,24839.0,Gravel,4.0
2021-11-16,Jenny,24839.0,Gravel,48.0
2021-11-17,Jenny,24839.0,Gravel,54.0
2021-11-18,Jenny,24839.0,Gravel,17.0
