Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,First Purchase,Order?,Prev_Value,Customer Classification,YoY Difference
43.0,CA-2020-101343,2020-07-17,2020-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049.0,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2.0,0.0,3.894,2020,2018,1,,New,48.0
45.0,CA-2020-118255,2020-11-03,2020-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.0,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2.0,0.0,19.7714,2020,2018,1,,New,48.0
46.0,CA-2020-118255,2020-11-03,2020-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.0,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2.0,0.0,8.2062,2020,2018,1,1.0,Consistent,48.0
48.0,CA-2020-169194,2020-06-20,2020-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901.0,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3.0,0.0,4.95,2020,2018,1,,New,48.0
49.0,CA-2020-169194,2020-06-20,2020-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901.0,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2.0,0.0,6.104,2020,2018,1,1.0,Consistent,48.0
54.0,CA-2020-105816,2020-11-12,2020-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024.0,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7.0,0.0,6.2566,2020,2018,1,,New,48.0
55.0,CA-2020-105816,2020-11-12,2020-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024.0,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5.0,0.0,298.6855,2020,2018,1,1.0,Consistent,48.0
56.0,CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6.0,0.0,52.14,2020,2020,1,,New,48.0
57.0,CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5.0,0.0,15.552,2020,2020,1,1.0,Consistent,48.0
58.0,CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5.0,0.1,7.098,2020,2020,1,1.0,Consistent,48.0
59.0,CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2.0,0.0,6.9888,2020,2020,1,1.0,Consistent,48.0
60.0,CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2.0,0.0,3.3,2020,2020,1,1.0,Consistent,48.0
61.0,CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4.0,0.2,16.362,2020,2020,1,1.0,Consistent,48.0
62.0,CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1.0,0.0,0.84,2020,2020,1,1.0,Consistent,48.0
70.0,CA-2020-119823,2020-04-06,2020-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153.0,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2.0,0.0,35.6636,2020,2018,1,,New,48.0
71.0,CA-2020-106075,2020-09-18,2020-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009.0,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1.0,0.2,1.731,2020,2019,1,,New,48.0
80.0,CA-2020-127208,2020-12-06,2020-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601.0,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1.0,0.0,56.2032,2020,2019,1,,New,48.0
81.0,CA-2020-127208,2020-12-06,2020-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601.0,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3.0,0.0,8.0352,2020,2019,1,1.0,Consistent,48.0
89.0,CA-2020-159695,2020-05-04,2020-10-04,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095.0,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7.0,0.2,13.8572,2020,2018,1,,New,48.0
90.0,CA-2020-109806,2020-09-17,2020-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036.0,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3.0,0.0,6.633,2020,2020,1,,New,48.0
91.0,CA-2020-109806,2020-09-17,2020-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036.0,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2.0,0.2,8.2782,2020,2020,1,1.0,Consistent,48.0
92.0,CA-2020-109806,2020-09-17,2020-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036.0,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1.0,0.0,3.1104,2020,2020,1,1.0,Consistent,48.0
99.0,CA-2020-149223,2020-06-09,2020-11-09,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106.0,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6.0,0.0,22.5852,2020,2019,1,,New,48.0
100.0,CA-2020-158568,2020-08-29,2020-02-09,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610.0,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7.0,0.2,22.6184,2020,2018,1,,New,48.0
101.0,CA-2020-158568,2020-08-29,2020-02-09,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610.0,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3.0,0.2,-10.7973,2020,2018,1,1.0,Consistent,48.0
102.0,CA-2020-158568,2020-08-29,2020-02-09,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610.0,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3.0,0.8,-3.0396,2020,2018,1,1.0,Consistent,48.0
103.0,CA-2020-129903,2020-01-12,2020-04-12,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901.0,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4.0,0.0,11.7208,2020,2018,1,,New,48.0
112.0,CA-2020-128867,2020-03-11,2020-10-11,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322.0,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2.0,0.0,22.788,2020,2018,1,,New,48.0
113.0,CA-2020-128867,2020-03-11,2020-10-11,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322.0,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6.0,0.0,13.3476,2020,2018,1,1.0,Consistent,48.0
120.0,CA-2020-103730,2020-12-06,2020-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805.0,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3.0,0.0,18.3456,2020,2018,1,,New,48.0
121.0,CA-2020-103730,2020-12-06,2020-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805.0,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4.0,0.0,13.878,2020,2018,1,1.0,Consistent,48.0
122.0,CA-2020-103730,2020-12-06,2020-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805.0,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6.0,0.0,63.4368,2020,2018,1,1.0,Consistent,48.0
123.0,CA-2020-103730,2020-12-06,2020-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805.0,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9.0,0.0,51.759,2020,2018,1,1.0,Consistent,48.0
124.0,CA-2020-103730,2020-12-06,2020-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805.0,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7.0,0.0,19.7316,2020,2018,1,1.0,Consistent,48.0
129.0,US-2020-125969,2020-06-11,2020-10-11,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004.0,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2.0,0.2,-9.1602,2020,2018,1,,New,48.0
130.0,US-2020-125969,2020-06-11,2020-10-11,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004.0,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3.0,0.0,26.2416,2020,2018,1,1.0,Consistent,48.0
134.0,CA-2020-145583,2020-10-13,2020-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661.0,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04,3.0,0.0,9.6192,2020,2018,1,,New,48.0
135.0,CA-2020-145583,2020-10-13,2020-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661.0,West,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,35.44,1.0,0.0,16.6568,2020,2018,1,1.0,Consistent,48.0
136.0,CA-2020-145583,2020-10-13,2020-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661.0,West,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4.0,0.0,3.456,2020,2018,1,1.0,Consistent,48.0
137.0,CA-2020-145583,2020-10-13,2020-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661.0,West,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02,2.0,0.0,1.9698,2020,2018,1,1.0,Consistent,48.0
138.0,CA-2020-145583,2020-10-13,2020-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661.0,West,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3.0,0.2,26.6616,2020,2018,1,1.0,Consistent,48.0
139.0,CA-2020-145583,2020-10-13,2020-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661.0,West,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6.0,0.0,18.4464,2020,2018,1,1.0,Consistent,48.0
140.0,CA-2020-145583,2020-10-13,2020-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661.0,West,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14.0,0.0,20.6976,2020,2018,1,1.0,Consistent,48.0
141.0,CA-2020-110366,2020-05-09,2020-07-09,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2.0,0.2,10.35,2020,2018,1,,New,48.0
148.0,CA-2020-114489,2020-05-12,2020-09-12,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132.0,Central,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11.0,0.0,103.8015,2020,2020,1,,New,48.0
149.0,CA-2020-114489,2020-05-12,2020-09-12,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132.0,Central,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3.0,0.0,5.9988,2020,2020,1,1.0,Consistent,48.0
150.0,CA-2020-114489,2020-05-12,2020-09-12,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132.0,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8.0,0.0,585.552,2020,2020,1,1.0,Consistent,48.0
151.0,CA-2020-114489,2020-05-12,2020-09-12,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132.0,Central,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5.0,0.0,80.6285,2020,2020,1,1.0,Consistent,48.0
152.0,CA-2020-158834,2020-03-13,2020-03-16,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254.0,West,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5.0,0.2,17.766,2020,2018,1,,New,48.0
153.0,CA-2020-158834,2020-03-13,2020-03-16,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254.0,West,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2.0,0.2,15.2388,2020,2018,1,1.0,Consistent,48.0
159.0,CA-2020-114104,2020-11-20,2020-11-24,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034.0,Central,OFF-LA-10002475,Office Supplies,Labels,Avery 519,14.62,2.0,0.0,6.8714,2020,2019,1,,New,48.0
160.0,CA-2020-114104,2020-11-20,2020-11-24,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034.0,Central,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,944.93,7.0,0.0,236.2325,2020,2019,1,1.0,Consistent,48.0
161.0,CA-2020-162733,2020-11-05,2020-12-05,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045.0,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1.0,0.0,2.691,2020,2018,1,,New,48.0
163.0,CA-2020-154508,2020-11-16,2020-11-20,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,88220.0,West,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,28.4,5.0,0.0,13.348,2020,2018,1,,New,48.0
164.0,CA-2020-113817,2020-07-11,2020-11-11,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,98115.0,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2.0,0.2,9.688,2020,2019,1,,New,48.0
186.0,CA-2020-105018,2020-11-28,2020-02-12,Standard Class,SK-19990,Sally Knutson,Consumer,United States,Fairfield,Connecticut,6824.0,East,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,7.16,2.0,0.0,3.4368,2020,2020,1,,New,48.0
188.0,CA-2020-157000,2020-07-16,2020-07-22,Standard Class,AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051.0,Central,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224,3.0,0.2,3.7224,2020,2018,1,,New,48.0
189.0,CA-2020-157000,2020-07-16,2020-07-22,Standard Class,AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051.0,Central,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3.0,0.2,6.255,2020,2018,1,1.0,Consistent,48.0
218.0,CA-2020-130162,2020-10-28,2020-01-11,Standard Class,JH-15910,Jonathan Howell,Consumer,United States,Los Angeles,California,90032.0,West,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06,6.0,0.0,26.0568,2020,2019,1,,New,48.0
219.0,CA-2020-130162,2020-10-28,2020-01-11,Standard Class,JH-15910,Jonathan Howell,Consumer,United States,Los Angeles,California,90032.0,West,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,302.376,3.0,0.2,22.6782,2020,2019,1,1.0,Consistent,48.0
238.0,CA-2020-157749,2020-04-06,2020-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,25.92,5.0,0.2,9.396,2020,2018,1,,New,48.0
239.0,CA-2020-157749,2020-04-06,2020-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68,5.0,0.6,-356.728,2020,2018,1,1.0,Consistent,48.0
240.0,CA-2020-157749,2020-04-06,2020-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central,FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings,11.688,3.0,0.6,-4.6752,2020,2018,1,1.0,Consistent,48.0
241.0,CA-2020-157749,2020-04-06,2020-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central,TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector,31.984,2.0,0.2,11.1944,2020,2018,1,1.0,Consistent,48.0
242.0,CA-2020-157749,2020-04-06,2020-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central,FUR-TA-10002607,Furniture,Tables,KI Conference Tables,177.225,5.0,0.5,-120.513,2020,2018,1,1.0,Consistent,48.0
243.0,CA-2020-157749,2020-04-06,2020-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central,FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories,4.044,3.0,0.6,-2.8308,2020,2018,1,1.0,Consistent,48.0
244.0,CA-2020-157749,2020-04-06,2020-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2.0,0.2,1.2038,2020,2018,1,1.0,Consistent,48.0
250.0,CA-2020-154739,2020-10-12,2020-12-15,Second Class,LH-17155,Logan Haushalter,Consumer,United States,San Francisco,California,94109.0,West,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.568,2.0,0.2,28.1372,2020,2018,1,,New,48.0
251.0,CA-2020-145625,2020-11-09,2020-09-17,Standard Class,KC-16540,Kelly Collister,Consumer,United States,San Diego,California,92037.0,West,OFF-PA-10004569,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61,1.0,0.0,3.5767,2020,2019,1,,New,48.0
252.0,CA-2020-145625,2020-11-09,2020-09-17,Standard Class,KC-16540,Kelly Collister,Consumer,United States,San Diego,California,92037.0,West,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,3347.37,13.0,0.0,636.0003,2020,2019,1,1.0,Consistent,48.0
253.0,CA-2020-146941,2020-10-12,2020-12-13,First Class,DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,10024.0,East,OFF-ST-10001228,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",80.58,6.0,0.0,22.5624,2020,2018,1,,New,48.0
254.0,CA-2020-146941,2020-10-12,2020-12-13,First Class,DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,10024.0,East,OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,361.92,4.0,0.0,162.864,2020,2018,1,1.0,Consistent,48.0
265.0,CA-2020-125318,2020-06-06,2020-06-13,Standard Class,RC-19825,Roy Collins,Consumer,United States,Chicago,Illinois,60610.0,Central,TEC-PH-10001433,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,328.224,4.0,0.2,28.7196,2020,2018,1,,New,48.0
268.0,CA-2020-111010,2020-01-22,2020-01-28,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Morristown,New Jersey,7960.0,East,OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands,7.56,6.0,0.0,0.3024,2020,2018,1,1.0,Consistent,48.0
287.0,CA-2020-112697,2020-12-18,2020-12-20,Second Class,AH-10195,Alan Haines,Corporate,United States,Tamarac,Florida,33319.0,South,OFF-BI-10000778,Office Supplies,Binders,GBC VeloBinder Electric Binding Machine,254.058,7.0,0.7,-169.372,2020,2019,1,,New,48.0
288.0,CA-2020-112697,2020-12-18,2020-12-20,Second Class,AH-10195,Alan Haines,Corporate,United States,Tamarac,Florida,33319.0,South,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",194.528,2.0,0.2,24.316,2020,2019,1,1.0,Consistent,48.0
289.0,CA-2020-112697,2020-12-18,2020-12-20,Second Class,AH-10195,Alan Haines,Corporate,United States,Tamarac,Florida,33319.0,South,OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,961.48,5.0,0.2,-204.3145,2020,2019,1,1.0,Consistent,48.0
290.0,CA-2020-110772,2020-11-20,2020-11-24,Second Class,NZ-18565,Nick Zandusky,Home Office,United States,Columbus,Ohio,43229.0,East,OFF-FA-10002983,Office Supplies,Fasteners,Advantus SlideClip Paper Clips,19.096,7.0,0.2,6.6836,2020,2018,1,,New,48.0
291.0,CA-2020-110772,2020-11-20,2020-11-24,Second Class,NZ-18565,Nick Zandusky,Home Office,United States,Columbus,Ohio,43229.0,East,OFF-LA-10004689,Office Supplies,Labels,Avery 512,18.496,8.0,0.2,6.2424,2020,2018,1,1.0,Consistent,48.0
292.0,CA-2020-110772,2020-11-20,2020-11-24,Second Class,NZ-18565,Nick Zandusky,Home Office,United States,Columbus,Ohio,43229.0,East,TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930,255.984,2.0,0.2,54.3966,2020,2018,1,1.0,Consistent,48.0
293.0,CA-2020-110772,2020-11-20,2020-11-24,Second Class,NZ-18565,Nick Zandusky,Home Office,United States,Columbus,Ohio,43229.0,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",86.97,3.0,0.5,-48.7032,2020,2018,1,1.0,Consistent,48.0
